SRR13529311	E10
SRR13529362	E9
SRR13529363	E78
SRR13529364	E77
SRR13529365	E76
SRR13529366	E75
SRR13529367	E74
SRR13529369	E73
SRR13529370	E72
SRR13529371	E71
SRR13529372	E70
SRR13529373	E7
SRR13529374	E68
SRR13529375	E67
SRR13529376	E66
SRR13529377	E65
SRR13529378	E64
SRR13529382	E62
SRR13529393	E60
SRR13529404	E6
SRR13529415	E59
SRR13529426	E58
SRR13529437	E57
SRR13529448	E55
SRR13529459	E53
SRR13529470	E52
SRR13529132	E51
SRR13529144	E50
SRR13529155	E47
SRR13529166	E46
SRR13529177	E41
SRR13529188	E40
SRR13529199	E39
SRR13529210	E37
SRR13529221	E36
SRR13529231	E35
SRR13529243	E34
SRR13529255	E33
SRR13529266	E31
SRR13529277	E30
SRR13529288	E3
SRR13529299	E29
SRR13528991	E28
SRR13529002	E26
SRR13529013	E24
SRR13529024	E22
SRR13529035	E20
SRR13529047	E19
SRR13529058	E18
SRR13529069	E16
SRR13529080	E15
SRR13529091	E14
SRR13529102	E13
SRR13529113	E12
SRR13529124	E11
