taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
E10,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E58,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E55,B.1.1.176,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E14,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E65,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E51,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
E28,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E6,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E20,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E78,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E74,B.1.350,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E30,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E9,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E3,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E62,B.1.1.121,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.121(1/1)
E47,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E70,B.1,0.3333333333333333,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E67,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E57,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(3/3)
E77,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E34,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.147(1/1)
E40,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E7,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E13,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E46,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
E24,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E52,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E31,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E68,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E12,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E37,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E39,B.1.1.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E11,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1(1/1)
E22,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E59,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1(1/1)
E26,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E50,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E41,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1.147(1/1)
E35,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E53,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E71,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1(1/1)
E76,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E33,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
E64,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E36,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E29,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E75,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E72,B.1,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.02,Usher placements: B.1(1/1)
E66,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E60,B.1.1.121,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.05,Usher placements: B.1.1.121(1/1)
E19,B.1.147,0.0,,,,,,PUSHER-v1.28,4.3.1,0.3.19,v0.1.12,False,pass,Ambiguous_content:0.03,Usher placements: B.1.147(1/1)
E16,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E15,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E18,B.1.147,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
E73,B.1,0.0,,,,,,PANGO-v1.28,4.3.1,0.3.19,v0.1.12,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
