sample	amp1	amp2	amp3	amp4	amp5	amp6	amp7	amp8	amp9	amp10	amp11	amp12	amp13	amp14	amp15	amp16	amp17	amp18	amp19	amp20	amp21	amp22	amp23	amp24	amp25	amp26	amp27	amp28	amp29	amp30	amp31	amp32	amp33	amp34	amp35	amp36	amp37	amp38	amp39	amp40	amp41	amp42	amp43	amp44	amp45	amp46	amp47	amp48	amp49	amp50	amp51	amp52	amp53	amp54	amp55	amp56	amp57	amp58	amp59	amp60	amp61	amp62	amp63	amp64	amp65	amp66	amp67	amp68	amp69	amp70	amp71	amp72	amp73	amp74	amp75	amp76	amp77	amp78	amp79	amp80	amp81	amp82	amp83	amp84	amp85	amp86	amp87	amp88	amp89	amp90	amp91	amp92	amp93	amp94	amp95	amp96	amp97	amp98
E10	757.2781982	16248.25	17392.7421875	17996.28125	8000.5170898	4229.2763672	3431.6682129	6212.2382812	2355.2478027	10375.6162109	11269.0517578	9119.9912109	368.0628357	17430.1621094	5675.2202148	9939.5888672	5162.2583008	6624.9174805	1974.7264404	6545.1142578	4576.8662109	11034.7861328	9080.1230469	5581.574707	11344.9238281	2932.1806641	10864.7216797	3055.3032227	543.7004395	12918.4208984	1512.7426758	2060.9448242	10192.6328125	17748.1621094	9150.5019531	545.3516846	13570.5947266	4746.8510742	12276.9589844	13823.8261719	8184.6894531	13237.3134766	6231.359375	21331.4785156	1628.7386475	18328.1738281	17146.7753906	4406.6586914	13564.3369141	11031.8408203	8347.6123047	14021.9472656	18602.6464844	6975.4106445	11788.3828125	6975.2412109	14900.8867188	14618.2255859	2805.2683105	14329.1728516	13631.3466797	16485.0136719	12869.7109375	2344.1115723	5322.7236328	1909.1330566	8589.2441406	10534.6826172	8727.8701172	10956.5478516	5552.6352539	12907.4589844	3528.2143555	2919.182373	18468.6660156	548.6803589	17523.3886719	7178.8466797	8159.3378906	5032.2070312	6306.6157227	12062.2587891	7957.8520508	15327.9179688	790.5240479	3408.8916016	16476.9121094	9414.546875	2793.8991699	14007.8720703	810.3545532	9870.2382812	15132.0537109	4312.7651367	11699.4951172	4290.6665039	8231.1298828	4387.4267578
E11	328.9736938	13312.25	19147.6035156	31107.4023438	7454.2329102	784.9539185	437.239624	3766.480957	304.222229	3290.4208984	7172.6362305	2280.5041504	32.2617798	14628.46875	1318.7097168	2819.9753418	1126.539917	576.5578613	119.4304962	4830.6191406	280.5412292	18832.9765625	8525.96875	477.9308472	5081.1328125	1991.5220947	4957.0219727	359.5	4.3920703	14004.7197266	57.5970879	311.8241272	5536.5825195	15246.0839844	5819.0581055	16.4152546	20374.0566406	2403.956543	23198.1933594	10591.9189453	2181.3105469	6514.3271484	1708.3497314	8525.7675781	44.9346733	7949.4658203	13060.0224609	2834.9755859	8818.0341797	3922.5305176	3265.1574707	15204.5693359	12235.8837891	1398.0145264	19379.5761719	2224.3706055	11494.4501953	9559.3242188	271.3999939	1986.7067871	22508.3945312	31610.9414062	12557.390625	847.5896606	1707.574585	543.5665283	12659.3408203	8192.8828125	11669.9677734	5766.5639648	1985.0344238	12204.8994141	490.7321472	1504.894165	45900.1640625	30.5753422	21014.8027344	4611.2695312	1543	2219.4638672	3175.1003418	25274.1914062	5304.3051758	24947.3242188	164.5152893	262.0788269	28139.4589844	10266.5673828	1076.8377686	17200.078125	62.4103584	7575.5727539	27668.6933594	1271.4976807	5746.5776367	523.8444214	2743.1481934	389.5174866
E12	395.6917419	16262.7802734	19831.1621094	23233.6308594	11076.8095703	2333.8754883	1585.1936035	5327.527832	1275.0384521	7256.5957031	13346.2958984	5400.9165039	157.0733032	17752.7851562	5195.0375977	7086.1479492	3870.713623	2718.673584	744.1973267	7171.9951172	1914.2474365	17082.1015625	13111.8828125	2896.5266113	11561.4648438	2668.1083984	10811.3212891	1485.4842529	58.6079292	14570.1494141	440.3058167	535.3015137	12397.2939453	19036.890625	9285.6230469	74.9830475	19386.9746094	2904.3044434	21811.6992188	16417.0117188	6590.7700195	12929.4501953	5286.6796875	18350.1367188	335.3869324	15449.2148438	20096.8242188	3651.1462402	14275.6513672	8069.5917969	7285.2895508	17661.7011719	18655.6386719	2865.7246094	20586.0722656	5184.375	17965.0917969	12103.0859375	2123.0341797	16556.5859375	21523.8671875	24038.3925781	13503.4980469	1982.6453857	4289.4824219	945.3991699	13945.6308594	8912.3134766	11418.7138672	10975.3779297	3205.5910645	12805.8261719	1353.5446777	2128.6352539	35951.7148438	133.3561707	24762.15625	6918.3745117	5069.605957	3854.4865723	5941.9082031	17020.6503906	8051.2021484	20632.4960938	749.5065308	1452.0493164	24003.8535156	10356.4902344	1183.0350342	16690.0546875	170.7808838	10195.3300781	23152.0273438	1989.5164795	11010.359375	926.2888794	6046.7036133	1366.4825439
E13	364.5075073	13913.7753906	12529.4052734	19008.8691406	9799.8349609	5776.7416992	3546.5300293	7476.1616211	3004.064209	9684.7128906	12167.5283203	8265.7333984	735.7800903	17587.953125	5939.8549805	8939.0615234	7560.1879883	5908.4423828	3486.7265625	8254.2333984	6414.5668945	14160.8984375	11851.9257812	5031.4360352	12587.3125	3209.3132324	10899.0605469	2674.3188477	678.6079102	11627.7285156	1002.1796265	1056.7186279	12094.0869141	14713.4189453	8272.9472656	239.7711792	13378.8623047	3539.9255371	13338.6708984	13809.9501953	8059.8881836	11476.5185547	6448.487793	16616.0039062	1154.2813721	14562.7353516	15802.6142578	4040.4511719	11728.875	7431.3305664	7823.6640625	14455.8427734	14754.7285156	4328.8261719	14829.0546875	6015.3188477	14024.5761719	11186.265625	2593.1901855	13622.8955078	13344.0205078	15867.2636719	12267.9111328	2862.2351074	6430.9516602	1653.3862305	11194.3457031	9591.8408203	9908.8486328	10704.9785156	5518.3544922	11787.6376953	4504.2680664	2883.9411621	23359.6933594	369.1506958	18767.4941406	7324.809082	7906.3896484	4351.8647461	7716.2924805	14890.2802734	7529.6503906	15813.9824219	483.1921387	3764.7487793	11406.2490234	10762.4326172	1865.3771973	16729.6523438	1427.2589111	10510.5810547	10967.3466797	3991.5869141	11230.7666016	4026.2487793	14506.1855469	3944.3356934
E14	276.6729431	11038.8574219	15254.6816406	18069.2753906	9618.1015625	2717.2856445	1671.6497803	5230.7573242	1438.3504639	6332.3583984	12224.5517578	5903.1582031	304.8324585	14589.7919922	3912.5859375	6406.0454102	4291.2255859	3048.0124512	994.7084961	7179.9760742	2771.2165527	15327.1904297	14537.4814453	2936.3989258	12429.4121094	2674.8273926	10812.3476562	1530.8582764	136.8502197	12252.5976562	378.0970764	949.5125732	10364.3300781	15167.8955078	8195.265625	141.5593262	17045.1386719	2996.3789062	17388.6347656	12008.9072266	6365.3911133	9342.0273438	4946.3793945	13525.9189453	418.9195862	11990.8671875	16776.2871094	4132.7724609	11304.9511719	7055.7797852	7230.340332	13873.5957031	14680.0214844	3443.067627	17884.8652344	5215.3105469	13959.4150391	9494.5722656	202.36586	13088.2460938	18326.9316406	16833.7226562	13864.9375	2143.9482422	5881.2456055	1501.9527588	14763.203125	13190.3134766	11037.9355469	10055.6699219	5232.7685547	11651.4541016	3740.8125	2949.8647461	27847.796875	226.3287659	19819.0742188	6362.168457	7453.4716797	4000.3874512	6488.1264648	15042.8251953	7172.4975586	16034.5732422	471.8034973	2061.6501465	17577.8789062	9130.1835938	964.083313	13816.3837891	614.7052002	8104.3085938	16341.6171875	2158.5961914	7568.5390625	1081.3555908	7880.277832	1126.2237549
E15	150.0977478	5296.5605469	5366.9077148	7522.8457031	4487.4663086	3430.5161133	2031.2626953	4275.3828125	1844.2949219	4378.7333984	5341.6958008	4581.3876953	556.6387329	8948.5078125	2769.3439941	4394.621582	2940.0656738	3580.6445312	1933.1658936	4438.2714844	3942.3144531	7004.1489258	6653.7714844	3570.2287598	6074.8481445	1368.3895264	5582.5302734	2271.8347168	486.8370056	5135.8779297	453.7475586	762.5326538	5094.4726562	5885.6176758	4160.1640625	282.6313477	5899.3144531	1961.9689941	6084.2177734	6205.6088867	4078.8571777	4790.1635742	3173.3349609	8177.8105469	785.2462158	7740.0136719	6570.184082	2337.142334	5631.019043	4486.0898438	3613.8596191	6696.074707	6437.1635742	3104.6474609	6516.3193359	4020.3964844	5962.3842773	5509.1352539	558.921936	6003.6230469	6388.7944336	5834.8618164	5952.1464844	1504.6693115	3558.9956055	1695.2703857	6294.2993164	6557.4018555	4423.5786133	5357.2553711	3684.5959473	5747.8623047	3516.9553223	1748.8529053	9581.8095703	367.7077637	7700.4018555	3843.7490234	4771.8266602	2859.8288574	4116.5678711	5827.1904297	2705.6896973	6572.0214844	468.3318787	2437.0197754	7118.9707031	4692.175293	1045.2675781	7372.2373047	861.6494141	4162.6826172	5781.265625	1354.5258789	4009.4223633	2472.4177246	4765.0092773	2006.9090576
E16	742.932312	7511.3061523	4910.7924805	8630.7382812	3008.4619141	5011.5439453	2883.2810059	5976.3491211	2367.7009277	7018.8081055	3479.2600098	7097.3208008	840.680603	11904.4384766	3496.9462891	6932.7861328	2697.7229004	7298.9130859	2257.1569824	5593.5048828	5939.3198242	9350.4580078	3881.2963867	7029.6967773	5009.246582	1686.1967773	4532.1914062	3984.5039062	1781.9603271	6863.737793	1657.4174805	2581.1154785	3950.4724121	9671.6699219	2815.5795898	1134.4194336	4297.4438477	4551.8818359	3848.4294434	8479.2666016	4277.9316406	6724.6181641	3292.182373	13515.5263672	2224.8693848	12941.8398438	5761.0224609	3910.166748	3711.9772949	8356.4648438	3229.8425293	8349.2021484	5501.965332	6422.1206055	4140.6469727	6458.1206055	4934.2358398	8751.5410156	1557.8585205	9672.0527344	3967.5563965	8779.8125	4133.6357422	1860.7490234	3083.0131836	2756.0471191	3658.7097168	6952.8271484	3021.0756836	7345.0107422	2805.8964844	8551.6923828	3012.4106445	3138.9470215	6008.3266602	936.9634399	4850.0874023	4759.5654297	4583.7963867	3748.4775391	3168.5109863	7406.2167969	1919.2265625	7777.5170898	1295.6026611	3704.3891602	3954.0146484	6351.8081055	2375.592041	8591.4150391	1139.8167725	5143.8544922	4309.7026367	3386.6103516	4782.5825195	4371.7646484	4453.4072266	3459.0209961
E18	2826.4924316	6514.6337891	7217.175293	8044.168457	4558.2543945	4837.7280273	8075.175293	5298.1235352	5691.3632812	6698.1542969	5022.0078125	7678.3041992	1790.5496826	15400.9765625	6413.9731445	4651.5927734	4513.4555664	7842.5415039	4802.0405273	5033.1333008	12009.8867188	7728.0356445	6893.265625	8425.1591797	7842.7016602	1909.7469482	7422.2871094	5025.6655273	4383.1323242	6098.7602539	3091.0290527	4721.9248047	4580.0136719	8572.2509766	5565.2705078	2375.6694336	6029.75	6440.4472656	6251.1411133	6924.0185547	5817.7080078	7282.1635742	4901.7094727	14921.6396484	6950.7739258	16042.9130859	9509.9189453	4681.0854492	7768.5229492	8959.7880859	5683.0297852	7019.4379883	8887.9658203	7413.2851562	5629.0166016	6033.7070312	5275.3974609	9243.6708984	3047.0341797	8149.5390625	6136.4594727	6678.1293945	6614.0844727	2153.7729492	4430.0703125	3590.6479492	5195.0966797	6221.0703125	4674.7353516	8438.4150391	6347.9213867	7716.421875	7213.875	3705.8293457	9033.9794922	1337.2237549	8205.0654297	4889.3032227	8185.965332	3711.8647461	4239.2138672	5577.0527344	3726.5861816	6948.5605469	3646.1091309	3529.940918	7536.9755859	4858.0244141	6427.3027344	7972.0776367	2623.6652832	5560.8193359	6172.4638672	3585.0046387	4011.4174805	5006.8535156	4445.1020508	4663.5244141
E19	732.4624023	11857.6289062	16497.1113281	25425.7890625	6402.7075195	1219.0137939	623.2073975	3497.0085449	446.8675232	6046.6333008	7325.855957	3271.3874512	80.2146606	14658.484375	2824.3225098	3795.5307617	1772.7182617	1535.5991211	269.5515747	4575.1855469	1012.9690552	14337.9824219	5546.1171875	1360.0159912	7298.9526367	2762.3574219	6904.9521484	571.2283325	38.0748901	10937.3759766	224.4660187	414.4773865	6329.0869141	13885.6914062	6816.4829102	129.6355896	15442.0175781	2109.0061035	15958.5996094	7461.7329102	3384.3664551	7440.9316406	1795.5172119	10648.6826172	71.6834183	7962.862793	9705.2246094	4035.9633789	8057.6171875	4026.1184082	2835.5234375	13209.8798828	9883.9697266	1026.8018799	13601.1425781	1835.5129395	9933.1748047	6546.1982422	399	9941.6494141	19244.8554688	23178.0039062	11506.1376953	1186.6175537	2110.0876465	575.2746582	8793.8935547	8179.0703125	9348.3193359	5572.4736328	1965.5222168	11569.1835938	932.4107056	1777.1646729	37014.8164062	101.7351608	21523.3183594	3969.7678223	1913.9957275	2613.432373	3238.152832	16761.7304688	4827.8422852	18765.4316406	62.1659393	698.5812988	26430.6640625	9997.0488281	922.4429932	17251.4472656	127.5019913	9092.0839844	24792.6972656	2267.4414062	8462.6210938	1.3511111	4223.5185547	1008.0908813
E20	7899.7143555	12783.1894531	15680.5068359	13639.8408203	5390.7924805	5774.2949219	5399.1108398	6291.5449219	3728.0043945	10669.5205078	8163.0039062	11228.7167969	1077.6962891	16916.8925781	8267.3925781	10874.9755859	4842.3803711	11398.6650391	7384.9057617	5813.6000977	13813.7265625	9834.1787109	4858.8764648	9517.515625	10790.3173828	2682.9477539	11042.921875	5946.1655273	7514.7666016	10104.7832031	7753.5048828	4055.2463379	8391.1738281	16054.2148438	8623.1640625	1813.1313477	10583.8925781	7585.1674805	8073.6118164	12136.2734375	10632.6152344	13064.9951172	7287.0395508	25038.484375	7251.2011719	24101.5839844	15980.5292969	6151.5083008	12623.1855469	13807.5673828	8159.5957031	12496.4873047	17845.5507812	11218.7822266	8142.3237305	9903.3789062	14723.1835938	16341.765625	3589.6828613	13286.7851562	10552.0283203	12351.4199219	11032.09375	2376.3227539	5179.9692383	3728.7897949	5482.0600586	8778.5751953	6728.0864258	11678.8671875	6532.034668	12174.5136719	7778.0625	3419.8352051	13495	1210.0731201	14839.6376953	7228.3408203	9638.1474609	4813.7431641	5751.9780273	8594.5136719	6774.7685547	11363.0390625	2816.0568848	4876.3154297	13126.5019531	8061.0161133	6553.4780273	12655.7119141	2055.378418	8660.5986328	11898.7929688	5770.2016602	9395.0390625	8637.421875	5992.8520508	6837.2519531
