coverage	n
1	0
2	1
3	0
4	0
5	1
6	1
7	0
8	0
9	0
10	0
11	2
12	0
13	1
14	0
15	1
16	0
17	0
18	1
19	0
20	1
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	0
42	3
43	0
44	0
45	1
46	2
47	3
48	2
49	1
50	0
51	4
52	1
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	3
162	0
163	0
164	0
165	0
166	1
167	5
168	2
169	16
170	0
171	6
172	10
173	4
174	1
175	2
176	13
177	15
178	6
179	4
180	2
181	2
182	0
183	0
184	0
185	0
186	1
187	3
188	3
189	2
190	2
191	1
192	1
193	1
194	11
195	15
196	0
197	9
198	8
199	29
200	8
201	0
202	1
203	1
204	0
205	2
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	1
228	0
229	0
230	0
231	0
232	1
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	1
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	1
260	24
261	5
262	18
263	2
264	2
265	0
266	1
267	0
268	1
269	1
270	1
271	1
272	5
273	4
274	2
275	0
276	28
277	14
278	19
279	13
280	13
281	1
282	9
283	11
284	17
285	3
286	7
287	2
288	22
289	14
290	8
291	7
292	1
293	0
294	3
295	0
296	0
297	2
298	0
299	4
300	1
301	0
302	0
303	0
304	0
305	1
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	1
315	0
316	0
317	0
318	0
319	0
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	19
366	18
367	15
368	11
369	16
370	3
371	25
372	0
373	0
374	0
375	0
376	0
377	0
378	1
379	2
380	0
381	1
382	0
383	0
384	0
385	3
386	2
387	0
388	2
389	4
390	1
391	0
392	3
393	0
394	0
395	1
396	1
397	1
398	1
399	0
400	3
401	1
402	1
403	0
404	1
405	0
406	0
407	1
408	0
409	1
410	0
411	1
412	3
413	0
414	2
415	6
416	7
417	0
418	0
419	0
