sample	amp1	amp2	amp3	amp4	amp5	amp6	amp7	amp8	amp9	amp10	amp11	amp12	amp13	amp14	amp15	amp16	amp17	amp18	amp19	amp20	amp21	amp22	amp23	amp24	amp25	amp26	amp27	amp28	amp29	amp30	amp31	amp32	amp33	amp34	amp35	amp36	amp37	amp38	amp39	amp40	amp41	amp42	amp43	amp44	amp45	amp46	amp47	amp48	amp49	amp50	amp51	amp52	amp53	amp54	amp55	amp56	amp57	amp58	amp59	amp60	amp61	amp62	amp63	amp64	amp65	amp66	amp67	amp68	amp69	amp70	amp71	amp72	amp73	amp74	amp75	amp76	amp77	amp78	amp79	amp80	amp81	amp82	amp83	amp84	amp85	amp86	amp87	amp88	amp89	amp90	amp91	amp92	amp93	amp94	amp95	amp96	amp97	amp98
Plate3BLANK1	1.0827068	1.4051725	1.5023042	1.4906542	1.5805085	1.5115207	1.3732719	0	0	1.4416667	0	1.4416667	0	4.0923076	1.4731183	0	0	1.4008265	0.0134529	4.1142859	2.4381444	1.5714285	2.7222223	3	0	0	0	0	0	1.4434389	0	0	1.2981651	0	0	0.0084746	3.1336207	0.0124224	0	0	3.2981367	0	0	2.2085309	0.0150754	2.9817352	1.2690583	0	1.4621212	2.8775511	3.6978724	2.0149813	1.2931035	0	0	0.0043103	1.4235808	4.1216216	0	1.6178011	1.6491935	1.8303572	0	0	1.4780701	0	0	0	0	1.6382979	0	1.5733945	2.9642856	2.1588235	5.3061223	0.0136986	1.6593887	2.4269662	0	0	0	0	0	0	0	0	2.9707317	0.0081633	0	0	0	0	5.572072	1.4225352	0	0	3.7870371	0
Plate3BLANK2	0.1578947	0	1.5253456	1.546729	0	24.0875568	2.9861751	0	1.6282052	0.0041667	2.868	1.7833333	0.0052356	1.676923	0	0.6213992	1.028169	1.6322314	0	0	2.3762887	1.2440476	0	0.6542553	2.7345972	2.2971888	1.8869566	1.3031496	0.4008811	0	0.3640777	0	0.5	5.2722511	0.3188406	0.0042373	2.1120689	0	2.9764705	0.6024845	0.3540373	0.5	0.91133	2.2417061	1.6080402	0.7762557	3.0627804	0.2276423	1.3977273	187.5550995	2.119149	4.8501873	2.5517242	1.6135266	2.697479	0.3965517	0	3.0225224	0	2.617801	0.8064516	4.1071429	2.9733334	0.5976096	1.7017543	0.5751073	2.9170506	0	0	0.4840426	0	1.8440367	0.5	0.0058824	4.8911567	0.0045662	2.812227	0.3820225	0.2900433	1.5	0.9388646	1.6349206	1.5369458	2.0732758	2.0742359	0	0	0.4204082	0	0.8219178	0	0	4.5090089	0	0.1941748	0	0.9259259	1.027972
Plate3BLANK3	0.4849624	5.1034484	4.1474652	0.771028	2.5042372	1.4516129	10.0552998	3.680851	2.9444444	4.9291668	0.568	2.2291667	0	6.0769229	1.8064516	0.0082305	9.4084511	3.6694214	0.3811659	1.7904762	1.871134	9.2023811	1.7839506	1.9840425	7.8862557	0.3895582	8.2304344	0.6102362	0.7841409	4.5882354	0.0097087	0.0100503	4.6284404	6.1780105	1.8357488	0.0550847	5.5646553	4.0807452	9.4176474	2.8944099	3.9440994	5.1954546	0.7536946	6.0758295	2.4572864	6.8949771	9.0448427	0.0243902	2.814394	0.9755102	0	3.4157302	8.5172415	0.4347826	4.7941175	0.6724138	5.6375546	1.7207208	0	3.9005237	0.9596774	5.0044641	3.4755557	0.2868526	1.3070176	0	1.470046	0.0794393	0.5189189	8.7021275	2.3743842	1.5366973	2.1428571	0.0235294	10.2312927	0.0091324	7.6812229	2.8576779	4.2987013	2.1036036	0.8777292	4.1058202	1.7536945	8.4956894	0.0174672	0	4.1902437	2.0489795	0.9780702	0.9406393	0.1474104	1.0352423	12.1261263	3.4178405	0.223301	1.8	2.8518519	1.7972028
Plate4BLANK1	1.5789474	5.8836207	1.5207373	14.2476635	6.3305087	1.483871	5.5069122	2.1021276	1.3205128	4.4458332	5.3000002	0.4791667	9.5916233	4.1230769	0.7311828	0	4.9765258	3.6280992	0	0.4380952	2.0257733	8.9880953	0	0.0425532	3.0663507	0	3.3869565	0	1.814978	4.4162898	0.0048544	2.914573	4.7018347	6.8376966	2.8937199	0.0042373	12.090517	2.0124223	11.8823528	1.5776397	0.931677	4.5954547	1.5566503	15.8436022	1.5276382	9.6621008	7.6726456	0.0487805	9.113636	0.0040816	1.5063829	6.6329589	9.5603447	1.5265701	10.0168066	2.2198277	1.5021834	12.2342339	0	11.6387434	5.8064518	15.7544641	4.0133333	0	1.4824561	1.695279	6.1059909	0	3.9675677	7.0372338	1.0541872	4.9587154	1.5178572	0	27.2380943	0	7.3711791	0.0224719	0	0	0	14.671958	0	15.8060341	0	1.7536945	28.892683	5.567347	3.3070176	5.0593605	0.0159363	1.3656387	35.0405388	0.8450704	15.2184467	0.8266667	18.1944447	1.5384616
Plate4BLANK2	2.1879699	21.7672405	16.8387089	12.1121492	6.6652541	6.1612902	12.8294935	8.6468086	1.9871795	9.708333	8.8800001	5.7791667	1.5916231	15.3230772	6.0645161	1.5555556	11.0892019	14.9462814	2.9730942	3.1523809	10.1288662	11.1488094	1.4691358	1.6276596	14.0758295	1.6546185	16.52174	5.3779526	2.982379	15.7918549	0.0145631	3.9095478	7.7798166	1.5863874	2.942029	0	9.5732756	10.173913	8.817647	11.0372667	3.2981367	19.9136372	3.8472908	37.0284348	9.0603018	32.0273972	20.1390133	1.4390244	12.92803	10.4285717	13.2978725	17.2696629	26.2112064	6.7487922	9.8235292	7.0172415	8.9213972	24.1936932	4.6585364	12.9790573	12.2056456	18.5803566	8.2799997	0	6.9166665	1.3991417	6.6221199	4.9719625	4189.2758789	16.3510647	0.2413793	16.3073387	9.1473217	6.1941175	3.9387755	0.56621	21.8515282	5.4419475	21.9480515	3.7342343	1.4541485	13.338624	3.0837438	24.9568958	1.4759825	2.8522167	6.7707319	7.1142859	2.6491227	7.1735158	0	3.2202644	12.6216221	1.5258216	20.5485439	1.6266667	18.0925922	1.3146853
Plate4BLANK3	2.2969925	11.9224138	15.1290321	12.2149534	1.3898305	4.5437789	7.9861751	1.3829787	0.3974359	9.1916666	7.2519999	7.4749999	5.0418849	13.6230774	3.032258	1.9012346	5.7746477	22.0082645	1.5246637	5	14.9226809	4.6666665	9.3271608	12.7127657	9.7440758	0	13.4086952	6.8818898	2.0881057	14.4072399	0	0	17.5963306	11.3507853	13.9323673	0.0211864	6.034483	1.7267081	3.5705884	6.9006209	12.5279503	8.2409086	6.2266011	30.8625584	12.2814074	26.310503	24.816143	2.8536584	11.799242	14.4448977	16.1872349	16.6254673	22.6853447	9.9661837	7.9705882	9.1982756	19.6812229	19.6261253	6.2097559	12.9895287	11.4959679	13.5401783	8.915556	4.0079679	8.8640347	0.9828326	4.8156681	5.9439254	0.8702703	14.180851	9.423645	6.8348622	9.4553576	3.3411765	28.333334	1.0410959	22.4454155	2.9513109	15.6190472	6.9234233	8.7074232	7.1957674	6.9458127	10.3836203	1.860262	7.4088669	13.9756098	11.6326532	0.8859649	16.6073055	1.2828685	5.4096918	13.7792797	3.7511737	12.4368935	2.8711112	15.4444447	4.5594406
Plate4BLANK4	2.3646617	15.2456894	2.2949309	14.990654	12.3008471	1.4562212	6.0921659	4.1531916	1.2649573	7.3958335	11.2639999	1.7833333	0	27.4692307	0	4.7201648	10.9624414	1.8966942	1.4798206	3.5476191	0	17.4821434	6.3518519	2.0265958	17.1990528	1.3694779	5.9000001	1.3503937	1.2951542	18.9819012	0	1.2160804	5.2247705	17.6963348	4.7874398	0.9745763	16.4008617	0	15.5	14.8136644	9.913043	10.1863632	0.3842365	11.6635075	2.9195981	23.1095886	16.1883411	0	12.034091	2.2408164	8.5872345	14.8501873	21.0732765	0	6.6974788	4.2413793	9.2183409	14.8738737	3.5073171	12.8429317	5.4879031	34.0535698	7.2444444	0	8.8903513	0	0.5069125	1.8411216	9.8000002	8.1861706	3.5615764	10.0366974	4.5669641	0	22.8911572	0	15.2620087	1.3632959	3.8441558	1.8918918	1.4541485	23.1058197	6.1674876	17.5431042	0	0.4926108	33.3073158	12.4163265	2.5789473	11.9954338	0	15.9515419	33.0855865	9.0422535	9.4563103	1.48	15.2407408	0
SC2184	2545.8947754	7157.7626953	11894.1611328	47879.1875	5428.0253906	1169.4608154	337.6036987	2257.8935547	79.5897446	5565.9707031	12026.3681641	849.2166748	186.6335144	18747.2460938	182.1612854	3161.9587402	2074.6008301	871.8429565	665.838562	16063.0195312	1026.1855469	36801.5664062	3234.2346191	226.5425568	8452.2509766	1865.0924072	7878.5478516	80.6496048	42.1365623	14608.0722656	5.5097089	194.2060242	3154.3349609	32984.9414062	2652.932373	18.2966099	16892.9746094	2380.7080078	23312.9179688	9688.4970703	1403.7019043	8225.4404297	1548.7290039	4020.3981934	127.2160797	9348.4199219	12455.8613281	1976.2479248	7761.5908203	10278.2900391	3621.9147949	14968.1123047	14851.125	443.8840637	11313.7519531	1321.7457275	17018.9570312	6872.409668	52.9365845	14107.5761719	34280.7070312	28952.2324219	10237.9863281	858.8446045	2010.6140137	157.5751038	5726.9306641	19592.8828125	6274.0541992	7171.2075195	1553.2758789	9406.1650391	1118.3392334	2864.1647949	43084.4960938	14.3287668	9489.0703125	5485.1533203	4886.6362305	2148.2297363	1109.7947998	34487.4609375	1705.0098877	28310.5351562	1643.1309814	655.3546753	36850.3359375	14303.2734375	2047.1929932	17948.9550781	175.9243011	12902.1191406	37873.3203125	2514.887207	6466.3300781	1464.0755615	6319.9165039	609.6503296
SC2185	1216.1278076	10534.9355469	19850.1894531	17055.8359375	11728.9960938	8111.2441406	4436.3457031	10004.6513672	1581.1708984	11055.7832031	11364.3837891	10395.5957031	2229.0786133	27182.8925781	6086.328125	8639.5800781	14109.4833984	13873.3759766	5304.4438477	16108.2001953	10429.0566406	25082.796875	16927.1230469	5406.8457031	19709.3261719	1881.6787109	18160.1660156	2740.8701172	2654.6784668	19314.3398438	213.2961121	942.859314	11626.1103516	19606.3242188	7396.7680664	257.7796631	17750.5429688	6793.6958008	16430.0527344	14895.546875	11404.2734375	12635.6132812	7227.8623047	15814.0996094	2869.3818359	22122.7441406	27442.0175781	2068.2194824	12910.6435547	16178.7636719	9034.4423828	16898.8535156	32789.7617188	3043.8068848	19614.9628906	8163.1855469	19475.7246094	16509.3242188	1508.2927246	21590.7285156	19751.9160156	18635.4824219	15064.2578125	2976.1115723	10312.4560547	2029.3776855	17979.7050781	24185.8691406	6024.2485352	22937.2773438	6827.4238281	18548.5546875	9531.3525391	5841.0410156	31559.7148438	457.5662231	18175.515625	8489.359375	24487.8828125	4521.9052734	6184.7294922	15023.0683594	6060.1132812	11124.0556641	4095.0393066	4402.2119141	24850.4140625	10320.5634766	2360.342041	16252.8769531	825.5418091	8520.9951172	20894.2792969	4089.0046387	13694.2431641	3141.4978027	19855.7675781	951.5454712
SC2186	4864.2783203	14875.5341797	34114.4335938	11435.6630859	19477.5253906	4350.0136719	1527.7281494	1105.2425537	211.8974304	2520.145752	15584.1162109	1858.0792236	557.6282959	9158.8388672	649.5806274	4597.3208008	8597.5214844	4724.3056641	1939.7802734	1063.6237793	2875.9174805	3509.5119629	11781.6113281	2318.5478516	22539.53125	273.6706848	15262.4648438	398.6299133	305.8061523	9082.0683594	30.4514561	3266.9196777	13323.2841797	7423.1044922	9753.0195312	460.6779785	31676.3496094	4742.9936523	34730.7421875	11134.4033203	7235.3417969	6017.5454102	4529.4628906	10428.4785156	431.4070435	12565.2099609	28100.2597656	1797.5772705	12063.4277344	4756.0859375	7295.6210938	10156.7714844	33129.484375	944.4734497	20236.3183594	2520.875	26049.2441406	8247.7617188	116.6926804	3582.8166504	35549.0390625	10261.6699219	19632.7207031	8.4023905	7277.3071289	309.1416321	16925.2773438	2911.8178711	10976.7509766	1522.5957031	2695.2709961	4103.7705078	3129.15625	73.1999969	68336.0703125	107.6027374	19135.2617188	1136.3408203	13268.1425781	886.1216431	3400.4628906	5401.1376953	5059.4086914	3482.8361816	310.0218201	1239.2364502	64111.2773438	4025.4204102	2680.8991699	9540.7626953	429.4980164	2268.6520996	61229.3476562	3410.9907227	16885.3632812	4812.1289062	14101.8427734	170.2517548
