unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
1	2	0	0	0	0	nan	1
4	2	0	0	0	0	nan	2
5	4	0	0	0	0	nan	3
5	4	0	0	0	0	4.30008	4
5	4	0	0	0	0	4.24997	5
8	5	0	0	0	0	4.21687	6
17	5	0	0	0	0	16.1139	7
18	5	0	0	0	0	19.5258	8
18	5	0	0	0	0	44.0077	9
18	5	0	0	0	0	47.0519	10
21	5	0	0	0	0	52.3774	11
24	5	0	0	0	0	55.0565	12
28	5	0	0	0	0	51.559	13
28	5	0	0	0	0	56.3315	14
28	5	0	0	0	0	62.6856	15
29	5	0	0	0	0	62.8286	16
32	5	0	0	0	0	54.6523	17
38	12	0	0	0	0	55.0515	18
38	12	0	0	0	0	75.6831	19
40	12	0	0	0	0	79.0381	20
40	12	0	0	0	0	78.1268	21
43	12	0	0	0	0	67.0988	22
45	13	0	0	0	0	72.4058	23
72	13	0	0	0	0	70.1803	24
78	14	0	0	0	0	153.892	25
89	14	0	0	0	0	171.758	26
89	14	0	0	0	0	174.197	27
90	15	0	0	0	0	223.511	28
98	18	0	0	0	0	216.136	29
104	23	0	0	0	0	223.66	30
4143	4924	0	0	0	0	223.281	31
4282	5136	0	0	0	0	251.358	32
4441	5404	0	0	0	0	265.483	33
4506	5563	0	0	0	0	235.725	34
4626	5712	0	0	0	0	248.023	35
4717	5842	0	0	0	0	291.275	36
4806	5954	0	0	0	0	306.558	37
4825	5981	0	0	0	0	296.545	38
4852	6009	0	0	0	0	25500	39
4878	6041	0	0	0	0	30301.1	40
4890	6054	0	0	0	0	30657.8	41
4894	6060	0	0	0	0	30796.1	42
4895	6060	0	0	0	0	31374.8	43
4896	6062	0	0	0	0	35689.9	44
4896	6062	0	0	0	0	36493.9	45
4903	6070	0	0	0	0	31232.9	46
4903	6070	0	0	0	0	31979	47
4903	6070	0	0	0	0	36074.3	48
4904	6071	0	0	0	0	32075.3	49
4911	6073	0	0	0	0	36202.9	50
4911	6073	0	0	0	0	32221.3	51
4913	6073	0	0	0	0	32288.3	52
4913	6073	0	0	0	0	37029.4	53
4913	6073	0	0	0	0	32398.3	54
4913	6073	0	0	0	0	31844.1	55
4913	6073	0	0	0	0	36995.5	56
4917	6078	0	0	0	0	31720.1	57
4917	6078	0	0	0	0	32356	58
4917	6078	0	0	0	0	36507.8	59
4917	6078	0	0	0	0	32423.7	60
4918	6079	0	0	0	0	37129	61
4918	6079	0	0	0	0	32288.2	62
4919	6080	0	0	0	0	32326.6	63
4919	6080	0	0	0	0	36600.7	64
4923	6085	0	0	0	0	32383.6	65
4929	6093	0	0	0	0	36545.2	66
4929	6093	0	0	0	0	32477.9	67
4927	6085	0	0	0	0	31903.6	68
4931	6087	0	0	0	0	31778.5	69
4934	6088	0	0	0	0	31845	70
4939	6089	0	0	0	0	36640.2	71
4945	6096	0	0	0	0	37149.5	72
4947	6097	0	0	0	0	32125.2	73
4948	6097	0	0	0	0	32070.3	74
4950	6103	0	0	0	0	36738.6	75
1436	2493	0	0	0	0	11655	76
7	867	0	0	0	0	2647.18	77
7	867	0	0	0	0	2654.15	78
7	867	0	0	0	0	2446.7	79
7	867	0	0	0	0	2470.42	80
7	867	0	0	0	0	2458.03	81
7	868	0	0	0	0	2463.55	82
7	868	0	0	0	0	2661.22	83
7	868	0	0	0	0	2818.2	84
7	868	0	0	0	0	2662.63	85
7	868	0	0	0	0	3050.79	86
7	869	0	0	0	0	2666.11	87
7	869	0	0	0	0	3025.69	88
7	869	0	0	0	0	2668.69	89
7	869	0	0	0	0	3006.55	90
8	869	0	0	0	0	3009.61	91
8	869	0	0	0	0	2830.24	92
8	869	0	0	0	0	2660.8	93
8	869	0	0	0	0	3049.18	94
8	869	0	0	0	0	2667.2	95
8	869	0	0	0	0	2814.78	96
8	869	0	0	0	0	2471.82	97
8	869	0	0	0	0	2818.47	98
8	869	0	0	0	0	2644.46	99
9	869	0	0	0	0	2823.94	100
9	869	0	0	0	0	3032.29	101
9	869	0	0	0	0	3023.97	102
9	869	0	0	0	0	2809.33	103
9	869	0	0	0	0	2656.53	104
10	869	0	0	0	0	3056.6	105
10	869	0	0	0	0	2814.92	106
10	869	0	0	0	0	2463.25	107
10	869	0	0	0	0	2664.57	108
10	869	0	0	0	0	3052.4	109
10	869	0	0	0	0	2833	110
10	869	0	0	0	0	2640.58	111
11	869	0	0	0	0	2648.14	112
12	869	0	0	0	0	2476.73	113
12	869	0	0	0	0	3056.41	114
12	869	0	0	0	0	2651.37	115
13	869	0	0	0	0	3047.65	116
13	869	0	0	0	0	2837.01	117
