ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2285:343-1623,SC2285:1891-7092,SC2285:7333-8499,SC2285:8914-9245,SC2285:9807-10737,SC2285:11023-17734,SC2285:17990-19586,SC2285:20196-21422,SC2285:21547-22898,SC2285:23140-29658
gene-orf1ab		266	21555	partial	SC2285:343-1623,SC2285:1891-7092,SC2285:7333-8499,SC2285:8914-9245,SC2285:9807-10737,SC2285:11023-17734,SC2285:17990-19586,SC2285:20196-21422
cds-QHD43415.1		266	13468	partial	SC2285:343-1623,SC2285:1891-7092,SC2285:7333-8499,SC2285:8914-9245,SC2285:9807-10737,SC2285:11023-13468
cds-QHD43415.1		13468	21555	partial	SC2285:13468-17734,SC2285:17990-19586,SC2285:20196-21422
gene-S		21563	25384	partial	SC2285:21558-22898,SC2285:23140-25379
cds-QHD43416.1		21563	25384	partial	SC2285:21558-22898,SC2285:23140-25379
gene-ORF3a		25393	26220	complete	SC2285:25388-26215
cds-QHD43417.1		25393	26220	complete	SC2285:25388-26215
gene-E		26245	26472	complete	SC2285:26240-26467
cds-QHD43418.1		26245	26472	complete	SC2285:26240-26467
gene-M		26523	27191	complete	SC2285:26518-27186
cds-QHD43419.1		26523	27191	complete	SC2285:26518-27186
gene-ORF6		27202	27387	complete	SC2285:27197-27382
cds-QHD43420.1		27202	27387	complete	SC2285:27197-27382
gene-ORF7a		27394	27759	complete	SC2285:27389-27754
cds-QHD43421.1		27394	27759	complete	SC2285:27389-27754
gene-ORF8		27894	28259	complete	SC2285:27889-28254
cds-QHD43422.1		27894	28259	complete	SC2285:27889-28254
gene-N		28274	29533	complete	SC2285:28269-29528
cds-QHD43423.2		28274	29533	complete	SC2285:28269-29528
gene-ORF10		29558	29674	partial	SC2285:29553-29658
cds-QHI42199.1		29558	29674	partial	SC2285:29553-29658
