ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.878296	1	0.992274	29672
0.991415	1	0.999963	29901.9
0.996864	0.762862	0.968701	28967.1
0.958475	0.47422	0.812921	24308.8
0.579474	0.517787	0.661245	19773.2
0.205731	0.452777	0.314247	9396.92
0.155964	0.415506	0.242133	7240.51
0.0549291	0.452777	0.116745	3491.01
0.860226	0.452836	0.756795	22630.5
0.997861	0.762907	0.968921	28973.6
0.999382	0.762909	0.969237	28983.1
0.99904	0.762721	0.969115	28979.4
0.0623872	1	0.235474	7041.37
0.856745	1	0.989211	29580.4
0.955497	1	0.998995	29872.9
0.0938936	1	0.316008	9449.58
0.647888	1	0.929096	27782.8
0.999992	1	1	29903
2.97478e-09	1	6.13788e-08	0.00183541
0.734034	0.592728	0.797166	23837.7
0.052197	0.618498	0.14312	4279.72
0.899646	0.844516	0.968507	28961.3
0.234905	0.91333	0.544782	16290.6
0.922206	1	0.996892	29810.1
0.973717	0.665678	0.929223	27786.6
0.232866	0.665678	0.443996	13276.8
1	0.95528	0.998985	29872.6
1	0.800921	0.97872	29266.7
1	0.900367	0.994863	29749.4
1	1	1	29903
0.71087	0.890135	0.922357	27581.2
0.369061	0.022983	0.0489402	1463.46
0.78516	0.00261043	0.0147369	440.677
0.183193	0.0210457	0.025285	756.097
0.881464	0.256524	0.562285	16814
0.357388	0.00797413	0.0195514	584.646
0.85388	0.0457852	0.165832	4958.87
0.649464	0.0457959	0.134294	4015.79
0.590301	0.0457923	0.124635	3726.95
0.0165577	0.0458066	0.00620735	185.618
0.124201	0.0458656	0.0351357	1050.66
0.0563574	0.0458531	0.0179815	537.702
0.034002	0.0875785	0.0202987	606.991
0.00218681	0.0458725	0.00102393	30.6186
0.23708	0.0842334	0.0981231	2934.18
0.992318	0.164411	0.458951	13724
0.999998	2.49971e-41	2.36197e-39	7.06299e-35
0.919634	0.0470324	0.179096	5355.51
0.95046	1.44234e-07	2.30346e-06	0.0688802
0.999992	4.83487e-08	8.62767e-07	0.0257993
0.999999	1.30143e-35	1.05841e-33	3.16497e-29
0.790149	1	0.976256	29193
0.559542	1	0.884433	26447.2
0.295755	0.404613	0.373724	11175.5
0.632915	1	0.922422	27583.2
0.194973	1	0.513733	15362.2
0.215891	1	0.546847	16352.4
0.529652	0.133199	0.257607	7703.22
0.994086	0.000662584	0.00548359	163.976
1	1.7512e-33	1.33836e-31	4.00209e-27
0.727717	1	0.959017	28677.5
0.846023	1	0.987485	29528.8
0.626306	1	0.919365	27491.8
0.984157	0.773592	0.968937	28974.1
0.405603	1	0.771611	23073.5
0.957515	1	0.999084	29875.6
0.133052	1	0.401419	12003.6
0.51287	0.290704	0.432845	12943.4
0.781073	0.0938062	0.264768	7917.35
0.934514	0.256694	0.582343	17413.8
0.915336	0.220906	0.525421	15711.7
0.999902	0.232326	0.5714	17086.6
0.999998	1.57165e-13	4.79062e-12	1.43254e-07
0.902026	0.00672289	0.0370242	1107.13
0.99999	1.37814e-22	7.07478e-21	2.11557e-16
0.453204	1	0.811875	24277.5
0.94879	1	0.998666	29863.1
0.430265	1	0.79313	23717
0.999919	0.686805	0.94482	28253
1	0.877352	0.992151	29668.3
0.783117	0.753619	0.901394	26954.4
0.799452	1	0.978392	29256.9
0.989753	0.0188277	0.0928518	2776.55
0.201118	7.93256e-06	2.28912e-05	0.684514
0.515021	1	0.856762	25619.7
0.936178	0.037037	0.151237	4522.45
0.601156	4.65731e-06	3.85975e-05	1.15418
0.0718452	0.00054994	0.000440106	13.1605
1	0.000236446	0.00221072	66.1071
0.721768	0.467938	0.704353	21062.3
0.84981	0.468123	0.764509	22861.1
0.984203	2.34007e-07	3.75033e-06	0.112146
0.13637	0.00024955	0.000384151	11.4873
1	1	1	29903
0.278136	0.0292184	0.0472373	1412.54
0.932059	1	0.997638	29832.4
