unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
0	0	0	0	0	0	nan	1
0	0	0	0	0	0	nan	2
0	1	0	0	0	0	nan	3
1	3	0	0	0	0	nan	4
1	3	0	0	0	0	nan	5
1	3	0	0	0	0	nan	6
5	3	0	0	0	0	nan	7
6	3	0	0	0	0	nan	8
6	3	0	0	0	0	10.6575	9
7	3	0	0	0	0	8.55516	10
8	3	0	0	0	0	8.03904	11
8	3	0	0	0	0	9.17364	12
11	3	0	0	0	0	8.6543	13
11	3	0	0	0	0	10.1344	14
11	3	0	0	0	0	16.1558	15
11	3	0	0	0	0	14.9825	16
15	3	0	0	0	0	12.7836	17
17	3	0	0	0	0	8.66457	18
18	3	0	0	0	0	17.9085	19
18	3	0	0	0	0	31.8553	20
18	3	0	0	0	0	31.0138	21
18	3	0	0	0	0	25.5931	22
19	3	0	0	0	0	29.5432	23
30	3	0	0	0	0	32.5194	24
30	3	0	0	0	0	62.1515	25
33	3	0	0	0	0	63.3049	26
33	3	0	0	0	0	78.8382	27
33	3	0	0	0	0	106.333	28
33	3	0	0	0	0	88.9129	29
34	3	0	0	0	0	94.3087	30
2870	3185	0	0	0	0	93.2792	31
2945	3304	0	0	0	0	115.589	32
3065	3491	0	0	0	0	116.582	33
3109	3600	0	0	0	0	95.64	34
3192	3707	0	0	0	0	94.2702	35
3266	3801	0	0	0	0	118.65	36
3352	3893	0	0	0	0	112.639	37
3369	3917	0	0	0	0	106.318	38
3408	3962	0	0	0	0	17089.5	39
3441	3996	0	0	0	0	21274	40
3445	4006	0	0	0	0	20666.1	41
3445	4013	0	0	0	0	20883	42
3445	4015	0	0	0	0	21272.1	43
3446	4015	0	0	0	0	25522.8	44
3447	4016	0	0	0	0	26075.9	45
3451	4021	0	0	0	0	21371	46
3452	4022	0	0	0	0	21840.9	47
3452	4022	0	0	0	0	25962.9	48
3457	4023	0	0	0	0	21917.9	49
3464	4027	0	0	0	0	26040.1	50
3465	4028	0	0	0	0	22102.2	51
3466	4030	0	0	0	0	22167.7	52
3468	4030	0	0	0	0	26571.2	53
3469	4031	0	0	0	0	22226.3	54
