ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2244:343-1623,SC2244:1716-2242,SC2244:2851-4402,SC2244:4659-4995,SC2244:5288-7092,SC2244:7305-7671,SC2244:7969-8319,SC2244:9807-10737,SC2244:11023-12225,SC2244:12431-13065,SC2244:13430-13834,SC2244:13938-14888,SC2244:15184-15851,SC2244:16135-16475,SC2244:16761-17120,SC2244:18586-18970,SC2244:19561-21417,SC2244:21673-22003,SC2244:22281-22616,SC2244:23780-24134,SC2244:24686-25336,SC2244:26209-29029,SC2244:29305-29653
gene-orf1ab		266	21555	partial	SC2244:343-1623,SC2244:1716-2242,SC2244:2851-4402,SC2244:4659-4995,SC2244:5288-7092,SC2244:7305-7671,SC2244:7969-8319,SC2244:9807-10737,SC2244:11023-12225,SC2244:12431-13065,SC2244:13430-13834,SC2244:13938-14888,SC2244:15184-15851,SC2244:16135-16475,SC2244:16761-17120,SC2244:18586-18970,SC2244:19561-21417
cds-QHD43415.1		266	13468	partial	SC2244:343-1623,SC2244:1716-2242,SC2244:2851-4402,SC2244:4659-4995,SC2244:5288-7092,SC2244:7305-7671,SC2244:7969-8319,SC2244:9807-10737,SC2244:11023-12225,SC2244:12431-13065
cds-QHD43415.1		13468	21555	partial	SC2244:13459-13834,SC2244:13938-14888,SC2244:15184-15851,SC2244:16135-16475,SC2244:16761-17120,SC2244:18586-18970,SC2244:19561-21417
gene-S		21563	25384	partial	SC2244:21673-22003,SC2244:22281-22616,SC2244:23780-24134,SC2244:24686-25336
cds-QHD43416.1		21563	25384	partial	SC2244:21673-22003,SC2244:22281-22616,SC2244:23780-24134,SC2244:24686-25336
gene-E		26245	26472	complete	SC2244:26234-26461
cds-QHD43418.1		26245	26472	complete	SC2244:26234-26461
gene-M		26523	27191	complete	SC2244:26512-27180
cds-QHD43419.1		26523	27191	complete	SC2244:26512-27180
gene-ORF6		27202	27387	complete	SC2244:27191-27376
cds-QHD43420.1		27202	27387	complete	SC2244:27191-27376
gene-ORF7a		27394	27759	complete	SC2244:27383-27748
cds-QHD43421.1		27394	27759	complete	SC2244:27383-27748
gene-ORF8		27894	28259	complete	SC2244:27883-28248
cds-QHD43422.1		27894	28259	complete	SC2244:27883-28248
gene-N		28274	29533	partial	SC2244:28263-29029,SC2244:29305-29521
cds-QHD43423.2		28274	29533	partial	SC2244:28263-29029,SC2244:29305-29521
gene-ORF10		29558	29674	partial	SC2244:29546-29653
cds-QHI42199.1		29558	29674	partial	SC2244:29546-29653
