ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	SC2254:323-1003,SC2254:1595-3506,SC2254:3795-4401,SC2254:4658-6525,SC2254:6743-7089,SC2254:7330-7994,SC2254:9804-10435,SC2254:11021-11136,SC2254:11582-13657,SC2254:14568-15535,SC2254:15849-16801,SC2254:17085-18033,SC2254:18273-18647,SC2254:18916-19908,SC2254:20198-20539,SC2254:20811-21713,SC2254:22540-22874,SC2254:23439-25344,SC2254:25922-29553
gene-orf1ab		266	21555	partial	SC2254:323-1003,SC2254:1595-3506,SC2254:3795-4401,SC2254:4658-6525,SC2254:6743-7089,SC2254:7330-7994,SC2254:9804-10435,SC2254:11021-11136,SC2254:11582-13657,SC2254:14568-15535,SC2254:15849-16801,SC2254:17085-18033,SC2254:18273-18647,SC2254:18916-19908,SC2254:20198-20539,SC2254:20811-21552
cds-QHD43415.1		266	13468	partial	SC2254:323-1003,SC2254:1595-3506,SC2254:3795-4401,SC2254:4658-6525,SC2254:6743-7089,SC2254:7330-7994,SC2254:9804-10435,SC2254:11021-11136,SC2254:11582-13465
cds-QHD43415.1		13468	21555	partial	SC2254:13465-13657,SC2254:14568-15535,SC2254:15849-16801,SC2254:17085-18033,SC2254:18273-18647,SC2254:18916-19908,SC2254:20198-20539,SC2254:20811-21552
gene-S		21563	25384	partial	SC2254:21560-21713,SC2254:22540-22874,SC2254:23439-25344
cds-QHD43416.1		21563	25384	partial	SC2254:21560-21713,SC2254:22540-22874,SC2254:23439-25344
gene-ORF3a		25393	26220	partial	SC2254:25922-26217
cds-QHD43417.1		25393	26220	partial	SC2254:25922-26217
gene-E		26245	26472	complete	SC2254:26242-26469
cds-QHD43418.1		26245	26472	complete	SC2254:26242-26469
gene-M		26523	27191	complete	SC2254:26520-27188
cds-QHD43419.1		26523	27191	complete	SC2254:26520-27188
gene-ORF6		27202	27387	complete	SC2254:27199-27384
cds-QHD43420.1		27202	27387	complete	SC2254:27199-27384
gene-ORF7a		27394	27759	complete	SC2254:27391-27756
cds-QHD43421.1		27394	27759	complete	SC2254:27391-27756
gene-ORF8		27894	28259	complete	SC2254:27891-28256
cds-QHD43422.1		27894	28259	complete	SC2254:27891-28256
gene-N		28274	29533	complete	SC2254:28271-29530
cds-QHD43423.2		28274	29533	complete	SC2254:28271-29530
