SARS-CoV-2 Illumina GeNome Assembly Line (SIGNAL), version v1.5.6
https://github.com/jaleezyy/covid-19-signal

Note: Asterisks (*) indicates a discrepancy between iVar (default) and FreeBayes (if run)

Sample: SC2263

Pangolin Lineage Assignment
    AL.1

Nextclade Clade Assignment
    20B

Data Volume
    Raw Data (read pairs): 631660
    Raw Data (base pairs): 317093320
    Post Primer Removal (read pairs): 631660
    Post Primer Removal (base pairs): 303066312
    Post Trim (read pairs): 627117

Quality Control Flags
    PASS  Genome Fraction greater than 90%
    WARN  No indels detected (maximum length 85bp)
    PASS  Depth of coverage >= 2000x
    WARN  All variants with at least 90% frequency among reads
    FAIL  Frameshifts in SARS-CoV-2 open reading frames
    PASS  Reads per base sequence quality
    PASS  Sequencing adapter removed
    FAIL  At least 90% of positions have coverage >= 100x
    WARN  At least 90% of positions have coverage >= 1000x

FASTQC Flags
    FAIL  Per tile sequence quality
    FAIL  Per base sequence content
    FAIL  Per sequence GC content
    WARN  Sequence Length Distribution

Kraken2
    Reads SARS-CoV-2 (%): 87.56

QUAST
    Genome Length (bp): 29901.0
    Genome Fraction (%): 96.76
    N's per 100 kbp: 3203.91
    Genomic Features: 17 + 6 part
    Mismatches: 20.0
    Mismatches per 100 kbp: 69.12
    Indels: 2.0
    Indels per 100 kbp: 6.91
    Average Depth of Coverage: 7658.4
        Fraction with 0 coverage: 0.009
        Fraction with 1x-10x coverage: 0.026
        Fraction with 11x-100x coverage: 0.107
        Fraction with 101x-1000x coverage: 0.205
        Fraction with 1001x-2000x coverage: 0.071
        Fraction with 2001x-10000x coverage: 0.341
        Fraction with > 10000x coverage: 0.241
    5' Ns: 29
    3' Ns: 67

Variants in Consensus Genome (iVar)
    T322-G* C3037T G3716A C5192T C10626T C11109T C12513T C14408T C18109T A21625G
    G22616T A23403G A25505C G25855T G27604T C27707T G28857T G28881A* G28882A*
    G28883C* C29580-T*

Unique Variants in Consensus Genome (FreeBayes)
    C241T TG322T A22904T GGG28881AAC CT29580C

Nucleotide Differences in Consensus Genomes (FreeBayes as reference)
    W22903A

Variants in Read Alignment (BreSeq)
    RA;	241;	C→T;	(100%);	'intergenic (–/-25)';	'– /→ orf1ab'
    JC;	827;	73 bp→67 bp;	(9.8%);	'coding (562-634/13203nt)';	'orf1ab →'
    RA;	1,042;	Δ1 bp;	(11.2%);	'coding (777/13203nt)';	'orf1ab →'
    RA;	1,202;	Δ1 bp;	(5.1%);	'coding (937/13203nt)';	'orf1ab →'
    RA;	2,060;	G→T;	(6.2%);	'A599S (GCC→TCC)';	'orf1ab →'
    RA;	3,037;	C→T;	(100%);	'F924F (TTC→TTT)';	'orf1ab →'
    RA;	3,716;	G→A;	(100%);	'A1151T (GCT→ACT)';	'orf1ab →'
    RA;	4,228;	Δ1 bp;	(6.2%);	'coding (3963/13203nt)';	'orf1ab →'
    RA;	4,232;	G→T;	(6.2%);	'D1323Y (GAC→TAC)';	'orf1ab →'
    RA;	4,808;	T→C;	(5.5%);	'S1515P (TCC→CCC)';	'orf1ab →'
    JC;	5,058;	Δ3 bp;	(9.9%);	'coding (4793-4795/13203nt)';	'orf1ab →'
    RA;	5,109;	G→T;	(10.1%);	'G1615V (GGT→GTT)';	'orf1ab →'
    RA;	5,192;	C→T;	(100%);	'L1643L (CTG→TTG)';	'orf1ab →'
    RA;	5,265;	Δ1 bp;	(8.9%);	'coding (5000/13203nt)';	'orf1ab →'
    RA;	5,787;	C→T;	(5.6%);	'S1841F (TCT→TTT)';	'orf1ab →'
    RA;	6,065;	Δ1 bp;	(7.1%);	'coding (5800/13203nt)';	'orf1ab →'
    RA;	6,066;	Δ1 bp;	(7.1%);	'coding (5801/13203nt)';	'orf1ab →'
    RA;	6,327;	C→T;	(5.6%);	'T2021I (ACA→ATA)';	'orf1ab →'
    RA;	6,379;	Δ1 bp;	(6.3%);	'coding (6114/13203nt)';	'orf1ab →'
    RA;	7,392;	C→T;	(6.2%);	'P2376L (CCG→CTG)';	'orf1ab →'
    JC;	7,612;	Δ5 bp;	(6.0%);	'coding (7347-7351/13203nt)';	'orf1ab →'
    RA;	7,735;	C→T;	(8.6%);	'I2490I (ATC→ATT)';	'orf1ab →'
    RA;	7,768;	Δ1 bp;	(8.8%);	'coding (7503/13203nt)';	'orf1ab →'
    JC;	7,810;	Δ41 bp;	(6.2%);	'coding (7545-7585/13203nt)';	'orf1ab →'
    RA;	8,798;	T→C;	(7.3%);	'Y2845H (TAT→CAT)';	'orf1ab →'
    RA;	9,114;	C→T;	(6.2%);	'P2950L (CCT→CTT)';	'orf1ab →'
    RA;	9,123;	G→T;	(5.7%);	'R2953L (CGT→CTT)';	'orf1ab →'
    RA;	9,167;	T→C;	(6.7%);	'Y2968H (TAC→CAC)';	'orf1ab →'
    RA;	10,626;	C→T;	(100%);	'A3454V (GCA→GTA)';	'orf1ab →'
    RA;	11,109;	C→T;	(100%);	'A3615V (GCT→GTT)';	'orf1ab →'
    RA;	11,122;	T→C;	(7.6%);	'I3619I (ATT→ATC)';	'orf1ab →'
    RA;	11,163;	Δ1 bp;	(6.8%);	'coding (10898/13203nt)';	'orf1ab →'
    RA;	11,173;	Δ1 bp;	(7.6%);	'coding (10908/13203nt)';	'orf1ab →'
    RA;	11,810;	Δ1 bp;	(6.8%);	'coding (11545/13203nt)';	'orf1ab →'
    RA;	12,263;	Δ1 bp;	(5.8%);	'coding (11998/13203nt)';	'orf1ab →'
    RA;	12,264;	A→T;	(5.8%);	'K4000M (AAG→ATG)';	'orf1ab →'
