ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.469572	1	0.824537	24656.1
0.53465	1	0.869417	25998.2
0.913869	0.59196	0.87334	26115.5
0.919815	1	0.996696	29804.2
0.95458	0.782104	0.96477	28849.5
0.918814	0.782013	0.956037	28588.4
0.982267	0.781769	0.970701	29026.9
0.978802	0.781764	0.969979	29005.3
0.951218	0.777266	0.962622	28785.3
0.624956	1	0.918731	27472.8
0.384978	1	0.752466	22501
0.592278	1	0.902501	26987.5
0.860001	1	0.989708	29595.2
0.595432	1	0.904144	27036.6
0.999979	1	1	29903
0.00463684	1	0.029554	883.752
0.525802	1	0.863803	25830.3
0.403707	0.681707	0.630291	18847.6
0.993363	0.753139	0.965224	28863.1
0.996478	0.880621	0.992173	29668.9
0.987674	0.775913	0.970288	29014.5
0.975543	0.761224	0.963598	28814.5
0.278639	0.862099	0.582814	17427.9
0.134338	0.791525	0.344642	10305.8
1	0.427547	0.790829	23648.2
0.752026	0.687035	0.857852	25652.4
0.570968	0.790661	0.810478	24235.7
0.823044	1	0.983328	29404.5
0.608551	0.6486	0.76163	22775
0.778486	1	0.973422	29108.2
0.942514	0.820631	0.972147	29070.1
0.999989	0.824886	0.983683	29415.1
0.7109	0.000829938	0.0049769	148.824
0.999977	4.59925e-34	3.57639e-32	1.06945e-27
1	0.000780866	0.00636805	190.424
0.77994	3.78256e-05	0.000337235	10.0843
0.9376	2.72294e-07	4.13102e-06	0.12353
0.771488	7.33234e-06	7.40061e-05	2.213
0.454399	7.35058e-06	4.5457e-05	1.3593
0.426538	7.35156e-06	4.28737e-05	1.28205
0.000853132	7.32963e-06	1.24376e-07	0.00371922
0.0304707	7.36171e-06	3.65865e-06	0.109405
0.013294	7.36001e-06	1.67703e-06	0.0501482
0.0106051	2.47988e-05	4.24765e-06	0.127017
2.30544e-05	8.94152e-06	4.8036e-09	0.000143642
0.002928	7.98401e-06	4.3415e-07	0.0129824
0.693218	0.00807527	0.0346251	1035.4
0.125078	0.000772386	0.000989741	29.5962
0.469008	4.54238e-08	3.97628e-07	0.0118903
0.999999	2.65656e-49	2.99792e-47	8.96467e-43
0.99998	3.73285e-11	9.33616e-10	2.79179e-05
0.955835	0.157217	0.435086	13010.4
0.999996	1.30169e-30	9.08754e-29	2.71745e-24
0.474067	1	0.827914	24757.1
0.754198	1	0.966958	28914.9
0.23851	1	0.580377	17355
0.511963	1	0.854724	25558.8
0.95397	0.0166314	0.0816072	2440.3
0.860242	0.298339	0.605697	18112.2
0.959877	0.0939438	0.307135	9184.26
0.626717	4.809e-07	4.82669e-06	0.144333
1	4.52221e-37	3.82971e-35	1.1452e-30
0.999997	7.81006e-19	3.3344e-17	9.97084e-13
0.634965	1	0.923357	27611.1
1	1	1	29903
0.991229	1	0.999961	29901.8
0.195363	1	0.514371	15381.2
0.0272411	1	0.125392	3749.59
0.824999	1	0.983707	29415.8
0.070164	1	0.256584	7672.64
0.963793	1	0.999336	29883.2
0.0343195	0.662335	0.108746	3251.83
0.245266	0.180091	0.181968	5441.38
0.917602	0.661662	0.910102	27214.8
0.754861	1	0.967144	28920.5
0.941549	1	0.998257	29850.9
1	1.07819e-17	4.32016e-16	1.29186e-11
0.71496	3.17536e-06	3.17736e-05	0.950127
0.999982	2.06599e-16	7.66794e-15	2.29295e-10
0.899371	1	0.994758	29746.2
0.449512	1	0.808939	24189.7
0.999943	0.339527	0.706263	21119.4
0.999999	1	1	29903
0.806913	1	0.980028	29305.8
0.43427	0.000125921	0.000591349	17.6831
0.999997	0.832458	0.985108	29457.7
